02/06;Journée Mondiale pour un Tourisme Responsable et Respectueux
03/06;Journée mondiale pour le vélo
03/06;Journée nationale du donut
04/06;Journée Internationale des enfants victimes innocentes d'agression
05/06;Journée Mondiale de l'environnement
05/06;Journée mondiale du naturisme
06/06;Journée de la mini-jupe
06/06;Journée mondiale des ravageurs
06/06;Journée mondiale de l'orthoptique
06/06;Journée mondiale de la maladie de Verneuil
07/06;Journée mondiale des martinets
08/06;Journée nationale d'hommage aux morts pour la France en Indochine
08/06;Journée mondiale anti contrefaçon
08/06;Journée Mondiale des océans
09/06;Journée mondiale de l'accréditation
09/06;Journée Internationale des Archives
10/06;Journée internationale de la NASH
10/06;journée mondiale de sensibilisation aux passages à niveau
11/06;Journée mondiale de la poupée
11/06;Journée mondiale du bien-être
11/06;La Nuit du handicap
11/06;Journée mondiale du tricot
12/06;Journée nationale de sensibilisation au TDAH
12/06;Journée Mondiale contre le travail des enfants
12/06;Semaine nationale de dépistage du cancer de la peau
13/06;Journée internationale de sensibilisation à l'albinisme
14/06;Journée internationale du procès équitable
14/06;Journée Mondiale des donneurs de sang
15/06;Journées de lutte contre les ambroisies
15/06;Journée mondiale de lutte contre la maltraitance des personnes âgées
15/06;Journée européenne du vent (de l'énergie éolienne)
16/06;Journée nationale de la santé du pied
16/06;Journée nationale de l'agriculture
16/06;Journée Mondiale de l'enfant Africain
17/06;Journée Mondiale de lutte contre la désertification et la sécheresse
18/06;Journée de la gastronomie durable
18/06;Journée internationale du sushi
18/06;Journée internationale du surf
19/06;journée internationale pour l'élimination de la violence sexuelle en temps de conflit
19/06;Journée Mondiale de la drépanocytose
20/06;Journée Mondiale des réfugiés
20/06;Journée mondiale du tennis
20/06;Journée mondiale de la myopathie FSH
21/06;Journée Mondiale de la Sclérose Latérale Amyotrophique
21/06;Journée Mondiale du yoga
21/06;Journée internationale de la lenteur
21/06;Journée mondiale de la moto
21/06;Journée internationale de la girafe
21/06;Journée mondiale de l'hydrographie
22/06;Journée nationale de réflexion sur le don d'organes et la greffe
23/06;Journée olympique mondiale
23/06;Journée mondiale pour la fonction publique
23/06;Journée mondiale des veuves
24/06;Journée mondiale des amoureux de l'Alsace
25/06;Journée mondiale des gens de mer
25/06;Journée mondiale du vitiligo
25/06;Journée Mondiale contre l'abandon des animaux de compagnie
25/06;Journée nationale des sauveteurs en mer
26/06;Journée Internationale contre l'abus et le trafic illicite de drogues
26/06;Journée Internationale des Nations Unies pour le soutien aux victimes de la torture
26/06;Journée internationale du dépistage de la scoliose
27/06;Journée mondiale des micro, petites et moyennes entreprises
28/06;Journée mondiale de la majuscule (Caps Lock Day)
28/06;Journée internationale de la phénylcétonurie (PCU)
29/06;Journée mondiale du Petit Prince
30/06;Journée mondiale des astéroïdes
01/07;Journée mondiale du bandeau blanc contre la pauvreté
01/07;Journée mondiale du reggae
02/07;Journée internationale des coopératives
02/07;Journée mondiale des OVNI
03/07;Journée mondiale sans sacs plastique
06/07;Journée Internationale du baiser
08/07;National Video Game Day
09/07;Journée de la destruction des armes légères
10/07;Journée mondiale des "femmes sans voiles"
11/07;Journée Mondiale de la population
14/07;Journée Mondiale de l'Orque
15/07;Journée mondiale des compétences des jeunes
16/07;Journée mondiale des serpents
17/07;Journée mondiale de la justice internationale
17/07;Journée mondiale des émojis
18/07;Journée internationale Nelson Mandela
19/07;Journée Internationale des châteaux
20/07;Journée mondiale de la poutine
20/07;Journée mondiale du jeu d'échecs
21/07;Journée mondiale de la malbouffe
23/07;Journée mondiale des dauphins
24/07;journée internationale des cousins et cousines
24/07;Journée nationale* de la tequila
24/07;Journée mondiale des grands-parents et des personnes âgées
26/07;Journées mondiales de la jeunesse
26/07;journée internationale pour la conservation de l’écosystème des mangroves
27/07;Journée internationale du fonio
28/07;Journée mondiale contre l'hépatite
29/07;Journée Mondiale des administrateurs système
29/07;Journée internationale du tigre
29/07;Journée nationale du rouge à lèvres
30/07;Journée internationale de l'amitié
30/07;Journée mondiale de la dignité des victimes de la traite d’êtres humains
31/07;Journée internationale de la femme africaine
01/08;Semaine Mondiale de l'allaitement maternel
01/08;Journée internationale de la frite belge
03/08;Journée Mondiale du Capoeiriste
05/08;Journée mondiale de la bière
08/08;Journée internationale du chat
09/08;Journée Internationale des Populations autochtones
10/08;Journée mondiale du lion
